표이름,시점,지역,분류,항목,값,단위
경영주 연령 및 교육정도별 농가,2020,전국,계,농가,1035193,가구
경영주 연령 및 교육정도별 농가,2020,전국,계,경영주연령별농가:15~19,9,가구
경영주 연령 및 교육정도별 농가,2020,전국,계,20~24,196,가구
경영주 연령 및 교육정도별 농가,2020,전국,계,25~29,893,가구
경영주 연령 및 교육정도별 농가,2020,전국,계,30~34,2760,가구
경영주 연령 및 교육정도별 농가,2020,전국,계,35~39,8568,가구
경영주 연령 및 교육정도별 농가,2020,전국,계,40~44,18985,가구
경영주 연령 및 교육정도별 농가,2020,전국,계,45~49,42989,가구
경영주 연령 및 교육정도별 농가,2020,전국,계,50~54,77645,가구
경영주 연령 및 교육정도별 농가,2020,전국,계,55~59,124686,가구
경영주 연령 및 교육정도별 농가,2020,전국,계,60~64,179143,가구
경영주 연령 및 교육정도별 농가,2020,전국,계,65~69,168571,가구
경영주 연령 및 교육정도별 농가,2020,전국,계,70~74,158197,가구
경영주 연령 및 교육정도별 농가,2020,전국,계,75~79,133960,가구
경영주 연령 및 교육정도별 농가,2020,전국,계,80세이상,118591,가구
경영주 연령 및 교육정도별 농가,2020,전국,계,경영주평균연령,66.1,가구
경영주 연령 및 교육정도별 농가,2020,전국,계,경영주교육정도별농가:          받지않음,67175,가구
경영주 연령 및 교육정도별 농가,2020,전국,계,초등학교,276226,가구
경영주 연령 및 교육정도별 농가,2020,전국,계,중학교,184088,가구
경영주 연령 및 교육정도별 농가,2020,전국,계,고등학교,322871,가구
경영주 연령 및 교육정도별 농가,2020,전국,계,4년제미만대학,71663,가구
경영주 연령 및 교육정도별 농가,2020,전국,계,4년제이상대학교,93404,가구
경영주 연령 및 교육정도별 농가,2020,전국,계,대학원 석사과정,15708,가구
경영주 연령 및 교육정도별 농가,2020,전국,계,대학원 박사과정,4058,가구
경영주 연령 및 교육정도별 농가,2020,전국,경지규모별,농가,1035193,가구
경영주 연령 및 교육정도별 농가,2020,전국,경지규모별,경영주연령별농가:15~19,9,가구
경영주 연령 및 교육정도별 농가,2020,전국,경지규모별,20~24,196,가구
경영주 연령 및 교육정도별 농가,2020,전국,경지규모별,25~29,893,가구
경영주 연령 및 교육정도별 농가,2020,전국,경지규모별,30~34,2760,가구
경영주 연령 및 교육정도별 농가,2020,전국,경지규모별,35~39,8568,가구
경영주 연령 및 교육정도별 농가,2020,전국,경지규모별,40~44,18985,가구
경영주 연령 및 교육정도별 농가,2020,전국,경지규모별,45~49,42989,가구
경영주 연령 및 교육정도별 농가,2020,전국,경지규모별,50~54,77645,가구
경영주 연령 및 교육정도별 농가,2020,전국,경지규모별,55~59,124686,가구
경영주 연령 및 교육정도별 농가,2020,전국,경지규모별,60~64,179143,가구
경영주 연령 및 교육정도별 농가,2020,전국,경지규모별,65~69,168571,가구
경영주 연령 및 교육정도별 농가,2020,전국,경지규모별,70~74,158197,가구
경영주 연령 및 교육정도별 농가,2020,전국,경지규모별,75~79,133960,가구
경영주 연령 및 교육정도별 농가,2020,전국,경지규모별,80세이상,118591,가구
경영주 연령 및 교육정도별 농가,2020,전국,경지규모별,경영주평균연령,66.1,가구
경영주 연령 및 교육정도별 농가,2020,전국,경지규모별,경영주교육정도별농가:          받지않음,67175,가구
경영주 연령 및 교육정도별 농가,2020,전국,경지규모별,초등학교,276226,가구
경영주 연령 및 교육정도별 농가,2020,전국,경지규모별,중학교,184088,가구
경영주 연령 및 교육정도별 농가,2020,전국,경지규모별,고등학교,322871,가구
경영주 연령 및 교육정도별 농가,2020,전국,경지규모별,4년제미만대학,71663,가구
경영주 연령 및 교육정도별 농가,2020,전국,경지규모별,4년제이상대학교,93404,가구
경영주 연령 및 교육정도별 농가,2020,전국,경지규모별,대학원 석사과정,15708,가구
경영주 연령 및 교육정도별 농가,2020,전국,경지규모별,대학원 박사과정,4058,가구
경영주 연령 및 교육정도별 농가,2020,전국,경지없음,농가,9140,가구
경영주 연령 및 교육정도별 농가,2020,전국,경지없음,경영주연령별농가:15~19,-,가구
경영주 연령 및 교육정도별 농가,2020,전국,경지없음,20~24,16,가구
경영주 연령 및 교육정도별 농가,2020,전국,경지없음,25~29,78,가구
경영주 연령 및 교육정도별 농가,2020,전국,경지없음,30~34,182,가구
경영주 연령 및 교육정도별 농가,2020,전국,경지없음,35~39,381,가구
경영주 연령 및 교육정도별 농가,2020,전국,경지없음,40~44,501,가구
경영주 연령 및 교육정도별 농가,2020,전국,경지없음,45~49,674,가구
경영주 연령 및 교육정도별 농가,2020,전국,경지없음,50~54,1017,가구
경영주 연령 및 교육정도별 농가,2020,전국,경지없음,55~59,1567,가구
경영주 연령 및 교육정도별 농가,2020,전국,경지없음,60~64,1791,가구
경영주 연령 및 교육정도별 농가,2020,전국,경지없음,65~69,1422,가구
경영주 연령 및 교육정도별 농가,2020,전국,경지없음,70~74,843,가구
경영주 연령 및 교육정도별 농가,2020,전국,경지없음,75~79,440,가구
경영주 연령 및 교육정도별 농가,2020,전국,경지없음,80세이상,228,가구
경영주 연령 및 교육정도별 농가,2020,전국,경지없음,경영주평균연령,58.8,가구
경영주 연령 및 교육정도별 농가,2020,전국,경지없음,경영주교육정도별농가:          받지않음,146,가구
경영주 연령 및 교육정도별 농가,2020,전국,경지없음,초등학교,1122,가구
경영주 연령 및 교육정도별 농가,2020,전국,경지없음,중학교,1440,가구
경영주 연령 및 교육정도별 농가,2020,전국,경지없음,고등학교,3794,가구
경영주 연령 및 교육정도별 농가,2020,전국,경지없음,4년제미만대학,1148,가구
