표이름,시점,지역,분류,항목,값,단위
경영주 연령 및 교육정도별 농가,2020,천안시,계,농가,11111,가구
경영주 연령 및 교육정도별 농가,2020,천안시,계,경영주연령별농가:15~19,-,가구
경영주 연령 및 교육정도별 농가,2020,천안시,계,20~24,2,가구
경영주 연령 및 교육정도별 농가,2020,천안시,계,25~29,6,가구
경영주 연령 및 교육정도별 농가,2020,천안시,계,30~34,25,가구
경영주 연령 및 교육정도별 농가,2020,천안시,계,35~39,89,가구
경영주 연령 및 교육정도별 농가,2020,천안시,계,40~44,212,가구
경영주 연령 및 교육정도별 농가,2020,천안시,계,45~49,434,가구
경영주 연령 및 교육정도별 농가,2020,천안시,계,50~54,912,가구
경영주 연령 및 교육정도별 농가,2020,천안시,계,55~59,1658,가구
경영주 연령 및 교육정도별 농가,2020,천안시,계,60~64,2097,가구
경영주 연령 및 교육정도별 농가,2020,천안시,계,65~69,1826,가구
경영주 연령 및 교육정도별 농가,2020,천안시,계,70~74,1591,가구
경영주 연령 및 교육정도별 농가,2020,천안시,계,75~79,1181,가구
경영주 연령 및 교육정도별 농가,2020,천안시,계,80세이상,1078,가구
경영주 연령 및 교육정도별 농가,2020,천안시,계,경영주평균연령,65.1,가구
경영주 연령 및 교육정도별 농가,2020,천안시,계,경영주교육정도별농가:          받지않음,329,가구
경영주 연령 및 교육정도별 농가,2020,천안시,계,초등학교,2569,가구
경영주 연령 및 교육정도별 농가,2020,천안시,계,중학교,1727,가구
경영주 연령 및 교육정도별 농가,2020,천안시,계,고등학교,3973,가구
경영주 연령 및 교육정도별 농가,2020,천안시,계,4년제미만대학,788,가구
경영주 연령 및 교육정도별 농가,2020,천안시,계,4년제이상대학교,1383,가구
경영주 연령 및 교육정도별 농가,2020,천안시,계,대학원 석사과정,260,가구
경영주 연령 및 교육정도별 농가,2020,천안시,계,대학원 박사과정,82,가구
경영주 연령 및 교육정도별 농가,2020,천안시,경지규모별,농가,11111,가구
경영주 연령 및 교육정도별 농가,2020,천안시,경지규모별,경영주연령별농가:15~19,-,가구
경영주 연령 및 교육정도별 농가,2020,천안시,경지규모별,20~24,2,가구
경영주 연령 및 교육정도별 농가,2020,천안시,경지규모별,25~29,6,가구
경영주 연령 및 교육정도별 농가,2020,천안시,경지규모별,30~34,25,가구
경영주 연령 및 교육정도별 농가,2020,천안시,경지규모별,35~39,89,가구
경영주 연령 및 교육정도별 농가,2020,천안시,경지규모별,40~44,212,가구
경영주 연령 및 교육정도별 농가,2020,천안시,경지규모별,45~49,434,가구
경영주 연령 및 교육정도별 농가,2020,천안시,경지규모별,50~54,912,가구
경영주 연령 및 교육정도별 농가,2020,천안시,경지규모별,55~59,1658,가구
경영주 연령 및 교육정도별 농가,2020,천안시,경지규모별,60~64,2097,가구
경영주 연령 및 교육정도별 농가,2020,천안시,경지규모별,65~69,1826,가구
경영주 연령 및 교육정도별 농가,2020,천안시,경지규모별,70~74,1591,가구
경영주 연령 및 교육정도별 농가,2020,천안시,경지규모별,75~79,1181,가구
경영주 연령 및 교육정도별 농가,2020,천안시,경지규모별,80세이상,1078,가구
경영주 연령 및 교육정도별 농가,2020,천안시,경지규모별,경영주평균연령,65.1,가구
경영주 연령 및 교육정도별 농가,2020,천안시,경지규모별,경영주교육정도별농가:          받지않음,329,가구
경영주 연령 및 교육정도별 농가,2020,천안시,경지규모별,초등학교,2569,가구
경영주 연령 및 교육정도별 농가,2020,천안시,경지규모별,중학교,1727,가구
경영주 연령 및 교육정도별 농가,2020,천안시,경지규모별,고등학교,3973,가구
경영주 연령 및 교육정도별 농가,2020,천안시,경지규모별,4년제미만대학,788,가구
경영주 연령 및 교육정도별 농가,2020,천안시,경지규모별,4년제이상대학교,1383,가구
경영주 연령 및 교육정도별 농가,2020,천안시,경지규모별,대학원 석사과정,260,가구
