품목,파일,원본제목,출처,라이선스,저작자
사과,data\web_photos\사과\사과_01.jpg,File:'Claque pépin'.jpg,https://commons.wikimedia.org/wiki/File:%27Claque_p%C3%A9pin%27.jpg,CC BY-SA 4.0,Denisjchevalier
사과,data\web_photos\사과\사과_02.jpg,"File:02-'Diva’ apple, a cultivar developed for cider production. Photo by S. Khanizadeh.tif","https://commons.wikimedia.org/wiki/File:02-%27Diva%E2%80%99_apple,_a_cultivar_developed_for_cider_production._Photo_by_S._Khanizadeh.tif",CC BY-SA 4.0,Shahrohkhanizadeh
사과,data\web_photos\사과\사과_03.jpg,File:16.8.20 1 Borovany Poklady z diecéze 154 (50236237482).jpg,https://commons.wikimedia.org/wiki/File:16.8.20_1_Borovany_Poklady_z_diec%C3%A9ze_154_(50236237482).jpg,CC BY 2.0,Donald Judge
사과,data\web_photos\사과\사과_04.jpg,File:2013. Крым 069.jpg,https://commons.wikimedia.org/wiki/File:2013._%D0%9A%D1%80%D1%8B%D0%BC_069.jpg,CC BY-SA 3.0,Andrey Butko
사과,data\web_photos\사과\사과_05.jpg,File:2013. Крым 864.jpg,https://commons.wikimedia.org/wiki/File:2013._%D0%9A%D1%80%D1%8B%D0%BC_864.jpg,CC BY-SA 3.0,Andrey Butko
사과,data\web_photos\사과\사과_06.JPG,"File:2015, Fair Smaki Regionow, Poznan (apples, UEP Poznan).JPG","https://commons.wikimedia.org/wiki/File:2015,_Fair_Smaki_Regionow,_Poznan_(apples,_UEP_Poznan).JPG",CC BY-SA 4.0,MOs810
사과,data\web_photos\사과\사과_07.jpg,File:2016 366 250 Still Life with a Plastic Bag (29477430536).jpg,https://commons.wikimedia.org/wiki/File:2016_366_250_Still_Life_with_a_Plastic_Bag_(29477430536).jpg,CC BY 2.0,Edna Winti
사과,data\web_photos\사과\사과_08.png,File:3DApple001 HQ-4K-PNG.stl,https://commons.wikimedia.org/wiki/File:3DApple001_HQ-4K-PNG.stl,CC0,ambientCG.com / Lennart Demes
배,data\web_photos\배\배_01.jpg,File:Aftermath of January 2018 North American blizzard 12.jpg,https://commons.wikimedia.org/wiki/File:Aftermath_of_January_2018_North_American_blizzard_12.jpg,CC BY-SA 3.0,PumpkinSky
배,data\web_photos\배\배_02.jpg,File:Aftermath of January 2018 North American blizzard 13.jpg,https://commons.wikimedia.org/wiki/File:Aftermath_of_January_2018_North_American_blizzard_13.jpg,CC BY-SA 3.0,PumpkinSky
배,data\web_photos\배\배_03.jpg,File:Aftermath of January 2018 North American blizzard 14.jpg,https://commons.wikimedia.org/wiki/File:Aftermath_of_January_2018_North_American_blizzard_14.jpg,CC BY-SA 3.0,PumpkinSky
배,data\web_photos\배\배_04.jpg,File:Asian Pear (Pyrus pyrifolia) (21650080978).jpg,https://commons.wikimedia.org/wiki/File:Asian_Pear_(Pyrus_pyrifolia)_(21650080978).jpg,CC BY-SA 2.0,"harum.koh from Kobe city, Japan"
배,data\web_photos\배\배_05.jpg,File:Back yard in January 2018 North American blizzard.jpg,https://commons.wikimedia.org/wiki/File:Back_yard_in_January_2018_North_American_blizzard.jpg,CC BY-SA 3.0,PumpkinSky
배,data\web_photos\배\배_06.jpg,File:Bgitterrost.jpg,https://commons.wikimedia.org/wiki/File:Bgitterrost.jpg,CC BY-SA 3.0,Appaloosa at German Wikipedia
배,data\web_photos\배\배_07.jpg,File:Korea-Asian pear-01.jpg,https://commons.wikimedia.org/wiki/File:Korea-Asian_pear-01.jpg,CC BY 2.0,pcamp
배,data\web_photos\배\배_08.jpg,File:Korean pear (Pyrus pyrifolia).jpg,https://commons.wikimedia.org/wiki/File:Korean_pear_(Pyrus_pyrifolia).jpg,CC BY-SA 2.0 kr,국립국어원
감귤,data\web_photos\감귤\감귤_01.jpg,File:12 mandarinas.jpg,https://commons.wikimedia.org/wiki/File:12_mandarinas.jpg,CC BY-SA 4.0,Rdrg109
감귤,data\web_photos\감귤\감귤_02.jpg,File:2023 Mandarynki.jpg,https://commons.wikimedia.org/wiki/File:2023_Mandarynki.jpg,CC BY-SA 4.0,Jacek Halicki
감귤,data\web_photos\감귤\감귤_03.jpg,File:A Citrus fruits in the basket.jpg,https://commons.wikimedia.org/wiki/File:A_Citrus_fruits_in_the_basket.jpg,CC BY-SA 4.0,Peachyeung316
감귤,data\web_photos\감귤\감귤_04.jpg,File:A Mandarin orange (310650481).jpg,https://commons.wikimedia.org/wiki/File:A_Mandarin_orange_(310650481).jpg,CC BY-SA 2.0,"Filip Maljković from Pancevo, Serbia"
감귤,data\web_photos\감귤\감귤_05.JPG,File:Au marché - Mandarines.JPG,https://commons.wikimedia.org/wiki/File:Au_march%C3%A9_-_Mandarines.JPG,CC0,Dinkum
감귤,data\web_photos\감귤\감귤_06.jpg,"File:Bago, mercado 13.jpg","https://commons.wikimedia.org/wiki/File:Bago,_mercado_13.jpg",CC BY-SA 4.0,LBM1948
감귤,data\web_photos\감귤\감귤_07.jpg,File:Bhutan's Mandarin Export Success at Samdrup Jongkhar.jpg,https://commons.wikimedia.org/wiki/File:Bhutan%27s_Mandarin_Export_Success_at_Samdrup_Jongkhar.jpg,CC BY-SA 4.0,Donvikro
감귤,data\web_photos\감귤\감귤_08.jpg,File:Binondo and Santa Cruz Tondo Heritage District Manila 02.jpg,https://commons.wikimedia.org/wiki/File:Binondo_and_Santa_Cruz_Tondo_Heritage_District_Manila_02.jpg,CC BY-SA 4.0,Zarate123
감자,data\web_photos\감자\감자_01.jpg,"File:""Balls of flour"", Omagh Market - geograph.org.uk - 524124.jpg","https://commons.wikimedia.org/wiki/File:%22Balls_of_flour%22,_Omagh_Market_-_geograph.org.uk_-_524124.jpg",CC BY-SA 2.0,Kenneth Allen
감자,data\web_photos\감자\감자_02.png,File:'atoes.png,https://commons.wikimedia.org/wiki/File:%27atoes.png,CC BY-SA 4.0,Planveg
감자,data\web_photos\감자\감자_03.jpg,File:02023 0181 meatballs and potatoes with peas and carrots stew.jpg,https://commons.wikimedia.org/wiki/File:02023_0181_meatballs_and_potatoes_with_peas_and_carrots_stew.jpg,CC BY-SA 4.0,Silar
감자,data\web_photos\감자\감자_04.jpg,File:2003-09-20 Biedenkopf Brott schwitzende Kartoffeln.jpg,https://commons.wikimedia.org/wiki/File:2003-09-20_Biedenkopf_Brott_schwitzende_Kartoffeln.jpg,CC BY-SA 3.0,Sir James
감자,data\web_photos\감자\감자_05.jpg,"File:2014 Prowincja Szirak, Giumri, Owoce i warzywa.jpg","https://commons.wikimedia.org/wiki/File:2014_Prowincja_Szirak,_Giumri,_Owoce_i_warzywa.jpg",CC BY-SA 4.0,Marcin Konsek
감자,data\web_photos\감자\감자_06.jpg,File:202405191811 IMG 7794.jpg,https://commons.wikimedia.org/wiki/File:202405191811_IMG_7794.jpg,CC BY-SA 4.0,ウィ貴公子
감자,data\web_photos\감자\감자_07.jpg,File:2025-05-01 Wikimedia Hackathon 2025 catering 14.jpg,https://commons.wikimedia.org/wiki/File:2025-05-01_Wikimedia_Hackathon_2025_catering_14.jpg,CC BY-SA 4.0,Edward
감자,data\web_photos\감자\감자_08.jpg,File:2025-05-01 Wikimedia Hackathon 2025 catering 33.jpg,https://commons.wikimedia.org/wiki/File:2025-05-01_Wikimedia_Hackathon_2025_catering_33.jpg,CC BY-SA 4.0,Edward
양파,data\web_photos\양파\양파_01.png,File:07 Onion Stock Zeetelas.png,https://commons.wikimedia.org/wiki/File:07_Onion_Stock_Zeetelas.png,CC BY-SA 4.0,Zeeshanrasani
양파,data\web_photos\양파\양파_02.jpg,File:13-08-31-wien-redaktionstreffen-EuT-by-Bi-frie-025.jpg,https://commons.wikimedia.org/wiki/File:13-08-31-wien-redaktionstreffen-EuT-by-Bi-frie-025.jpg,CC BY 3.0,Bi-frie (talk)
양파,data\web_photos\양파\양파_03.jpg,File:13-08-31-wien-redaktionstreffen-EuT-by-Bi-frie-026.jpg,https://commons.wikimedia.org/wiki/File:13-08-31-wien-redaktionstreffen-EuT-by-Bi-frie-026.jpg,CC BY 3.0,Bi-frie (talk)
양파,data\web_photos\양파\양파_04.jpg,File:1635363-PPT.jpg,https://commons.wikimedia.org/wiki/File:1635363-PPT.jpg,CC BY 3.0 us,Ed Kurtz
양파,data\web_photos\양파\양파_05.jpg,"File:2014 Prowincja Szirak, Giumri, Owoce i warzywa.jpg","https://commons.wikimedia.org/wiki/File:2014_Prowincja_Szirak,_Giumri,_Owoce_i_warzywa.jpg",CC BY-SA 4.0,Marcin Konsek
양파,data\web_photos\양파\양파_06.jpg,"File:2024-09-15 15 10 48 Onion starting to grow in the Mountainview section of Ewing Township, Mercer County, New Jersey.jpg","https://commons.wikimedia.org/wiki/File:2024-09-15_15_10_48_Onion_starting_to_grow_in_the_Mountainview_section_of_Ewing_Township,_Mercer_County,_New_Jersey.jpg",CC BY-SA 4.0,Famartin
양파,data\web_photos\양파\양파_07.jpg,"File:2024-09-15 15 11 03 Onion starting to grow in the Mountainview section of Ewing Township, Mercer County, New Jersey.jpg","https://commons.wikimedia.org/wiki/File:2024-09-15_15_11_03_Onion_starting_to_grow_in_the_Mountainview_section_of_Ewing_Township,_Mercer_County,_New_Jersey.jpg",CC BY-SA 4.0,Famartin
양파,data\web_photos\양파\양파_08.jpeg,File:500px photo (39214994).jpeg,https://commons.wikimedia.org/wiki/File:500px_photo_(39214994).jpeg,CC BY 3.0,Rosa Elena Méndez Meza
